Plateforme,Asset,Quote,Datetime
Coinbase,eth_usd,328,1600941948.406174
Coinbase,eth_eur,282.18,1600941948.407208
Coinbase,btc_usd,10325.01,1600941948.407667
Coinbase,btc_eur,8885.2,1600941948.408116
Coinbase,eth_usd,327.94,1600941949.272381
Coinbase,eth_usd,327.94,1600941949.273606
Coinbase,eth_usd,327.94,1600941949.274806
Coinbase,eth_usd,327.94,1600941949.275614
Coinbase,btc_eur,8885.2,1600941954.41862
Coinbase,btc_usd,10325.01,1600941957.924116
Coinbase,btc_usd,10325.01,1600941960.949896
Coinbase,btc_usd,10325.01,1600941963.792909
Coinbase,eth_eur,282.37,1600941963.80437
Coinbase,eth_usd,327.91,1600941967.702137
Coinbase,eth_usd,327.91,1600941967.702705
Coinbase,eth_usd,327.91,1600941967.703123
Coinbase,eth_usd,327.91,1600941967.705111
Coinbase,eth_eur,282.22,1600941973.118733
Coinbase,btc_usd,10325,1600941974.103913
Coinbase,eth_usd,327.9,1600941975.900144
Coinbase,eth_usd,327.9,1600941975.900984
Coinbase,eth_usd,327.89,1600941975.901458
Coinbase,eth_usd,327.89,1600941975.901903
Coinbase,eth_usd,327.87,1600941975.903308
Coinbase,eth_usd,327.85,1600941975.903758
Coinbase,eth_usd,327.85,1600941975.904229
Coinbase,eth_usd,327.83,1600941975.905685
Coinbase,eth_usd,327.82,1600941975.906126
Coinbase,eth_usd,327.82,1600941975.906594
Coinbase,eth_usd,327.8,1600941975.907658
Coinbase,eth_usd,327.91,1600941977.207404
Coinbase,eth_usd,327.91,1600941977.212178
Coinbase,eth_eur,282.39,1600941977.613763
Coinbase,btc_eur,8886.29,1600941979.001528
Coinbase,btc_usd,10325,1600941980.545025
Coinbase,eth_usd,327.9,1600941982.063975
Coinbase,eth_usd,327.9,1600941982.071057
Coinbase,eth_usd,327.84,1600941982.071612
Coinbase,btc_eur,8885.2,1600941982.859592
Coinbase,btc_eur,8885.11,1600941982.860231
Coinbase,btc_usd,10325.01,1600941986.225309
Coinbase,eth_usd,327.91,1600941986.707456
Coinbase,eth_usd,327.91,1600941986.708413
Coinbase,eth_usd,327.91,1600941986.708886
Coinbase,eth_usd,327.91,1600941986.709331
Coinbase,btc_eur,8886.1,1600941986.712224
Coinbase,eth_usd,327.92,1600941988.595879
Coinbase,eth_usd,327.91,1600941988.59902
Coinbase,eth_usd,327.9,1600941988.599481
Coinbase,eth_usd,327.9,1600941988.600612
Coinbase,eth_usd,327.9,1600941988.601052
Coinbase,btc_usd,10325,1600941989.536917
Coinbase,btc_usd,10325,1600941989.586159
Coinbase,btc_usd,10325,1600941989.621642
Coinbase,btc_usd,10325,1600941989.645002
Coinbase,btc_usd,10325.01,1600941989.690339
Coinbase,btc_usd,10325,1600941989.976009
Coinbase,btc_usd,10325,1600941990.101605
Coinbase,eth_eur,282.23,1600941992.752789
Coinbase,btc_eur,8886.08,1600941992.974854
Coinbase,btc_eur,8886.08,1600941993.267854
Coinbase,btc_usd,10325,1600941996.03476
Coinbase,eth_usd,327.93,1600941997.144755
Coinbase,btc_eur,8885.11,1600941999.599154
Coinbase,btc_eur,8885.11,1600942002.419702
Coinbase,btc_eur,8886.08,1600942002.43339
Coinbase,btc_usd,10325.01,1600942004.057806
Coinbase,btc_eur,8886.06,1600942004.3255
Coinbase,btc_usd,10325.01,1600942005.143308
Coinbase,btc_usd,10325,1600942008.331255
Coinbase,btc_usd,10325.01,1600942008.793065
Coinbase,eth_eur,282.38,1600942009.813059
Coinbase,eth_eur,282.39,1600942009.814461
Coinbase,btc_usd,10325.01,1600942009.910372
Coinbase,eth_usd,327.93,1600942011.812192
Coinbase,btc_eur,8885.11,1600942013.312468
Coinbase,btc_usd,10325.01,1600942016.418239
Coinbase,eth_usd,327.93,1600942017.242386
Coinbase,eth_usd,327.93,1600942017.243005
Coinbase,eth_usd,327.93,1600942017.348363
Coinbase,btc_eur,8885.11,1600942022.663968
Coinbase,eth_usd,327.92,1600942023.886072
Coinbase,btc_eur,8885.92,1600942024.029982
Coinbase,btc_usd,10325,1600942025.010718
Coinbase,btc_usd,10325,1600942026.744579
Coinbase,eth_usd,327.93,1600942027.34078
Coinbase,eth_usd,327.93,1600942027.341321
Coinbase,eth_usd,327.93,1600942027.341734
Coinbase,eth_usd,327.93,1600942027.34254
Coinbase,eth_usd,327.93,1600942027.345678
Coinbase,eth_usd,327.93,1600942027.346115
Coinbase,eth_usd,327.93,1600942027.346545
Coinbase,btc_eur,8885.2,1600942029.486275
Coinbase,btc_eur,8885.11,1600942029.4869
Coinbase,btc_eur,8885.65,1600942032.044526
Coinbase,btc_eur,8885.11,1600942033.482908
Coinbase,btc_eur,8885.07,1600942033.483457
Coinbase,eth_usd,328.01,1600942035.691241
Coinbase,eth_usd,328.01,1600942035.691839
Coinbase,eth_usd,328.01,1600942035.708922
Coinbase,eth_usd,328.17,1600942035.71904
Coinbase,btc_usd,10325.01,1600942035.752167
Coinbase,btc_usd,10325.01,1600942035.752714
Coinbase,btc_usd,10325.01,1600942035.753156
Coinbase,btc_usd,10325.01,1600942035.754306
Coinbase,btc_usd,10325.01,1600942035.754746
Coinbase,btc_usd,10325.01,1600942035.75654
Coinbase,btc_usd,10325.01,1600942035.756989
Coinbase,btc_usd,10325.02,1600942035.803082
Coinbase,eth_eur,282.39,1600942035.803585
Coinbase,eth_eur,282.41,1600942035.804008
Coinbase,btc_eur,8885.57,1600942035.830791
Coinbase,eth_usd,328.21,1600942035.844464
Coinbase,btc_eur,8886.08,1600942035.850199
Coinbase,btc_eur,8886.1,1600942035.857384
Coinbase,eth_eur,282.34,1600942035.891697
Coinbase,btc_usd,10325.02,1600942036.462673
Coinbase,btc_usd,10325.02,1600942036.494833
Coinbase,eth_eur,282.56,1600942036.758971
Coinbase,btc_usd,10325.02,1600942036.843717
Coinbase,eth_usd,328.32,1600942037.242758
Coinbase,eth_usd,328.33,1600942037.243906
Coinbase,eth_usd,328.34,1600942037.245361
Coinbase,btc_usd,10325.02,1600942038.148157
Coinbase,btc_usd,10325.02,1600942039.286006
Coinbase,eth_usd,328.28,1600942039.286612
Coinbase,eth_eur,282.42,1600942040.443198
Coinbase,btc_eur,8886.69,1600942041.322725
Coinbase,eth_usd,328.28,1600942042.044863
Coinbase,btc_usd,10325.02,1600942042.249513
Coinbase,btc_eur,8888.36,1600942047.344706
Coinbase,btc_eur,8887.84,1600942049.728091
Coinbase,btc_eur,8885.69,1600942052.822521
Coinbase,eth_usd,328.2,1600942053.657764
Coinbase,btc_usd,10325.02,1600942058.539226
Coinbase,btc_eur,8886.66,1600942058.893243
Coinbase,btc_eur,8886.1,1600942060.261667
Coinbase,btc_usd,10325.02,1600942060.299348
Coinbase,btc_eur,8885,1600942062.880722
Coinbase,btc_eur,8884.67,1600942062.881284
Coinbase,btc_usd,10325.02,1600942063.724319
Coinbase,eth_usd,328.2,1600942072.180333
Coinbase,eth_usd,328.2,1600942072.180951
Coinbase,eth_usd,328.2,1600942072.18137
Coinbase,btc_eur,8886.07,1600942073.15527
Coinbase,btc_eur,8886.07,1600942073.155877
Coinbase,btc_eur,8886.1,1600942073.156328
Coinbase,btc_eur,8886.1,1600942073.783224
Coinbase,btc_eur,8886.68,1600942073.783806
Coinbase,btc_eur,8886.68,1600942074.978091
Coinbase,btc_eur,8886.68,1600942074.978708
Coinbase,btc_eur,8886.69,1600942074.979851
Coinbase,btc_eur,8887.36,1600942074.980288
Coinbase,btc_usd,10325.02,1600942076.811356
Coinbase,btc_usd,10325.02,1600942077.363244
Coinbase,eth_usd,328.43,1600942079.144841
Coinbase,btc_eur,8887.61,1600942081.095217
Coinbase,eth_usd,328.43,1600942081.187807
Coinbase,eth_usd,328.43,1600942081.188327
Coinbase,eth_eur,282.74,1600942081.611945
Coinbase,eth_eur,282.74,1600942083.609255
