Plateforme,Asset,Quote,Datetime,Bid,BidAmount,Ask,AskAmount,OpenInterest
Coinbase,eth_usd,352.76,1601466154.83768,352.75,0,352.76,0,357.59
Coinbase,eth_eur,301.92,1601466154.83861,301.92,0,301.93,0,306.29
Coinbase,btc_eur,9134.24,1601466154.839068,9134.24,0,9136.4,0,9211.76
Coinbase,btc_usd,10676.66,1601466154.839512,10676.66,0,10677.59,0,10757.19
Coinbase,eth_eur,301.93,1601466156.624008,301.92,0,301.93,0,306.29
Coinbase,btc_usd,10677.78,1601466156.788588,10676.78,0,10677.78,0,10757.19
Coinbase,btc_usd,10677.66,1601466156.840342,10676.8,0,10677.66,0,10757.19
Coinbase,btc_usd,10677.71,1601466157.019597,10676.86,0,10677.96,0,10757.19
Coinbase,btc_usd,10677.96,1601466157.02012,10676.86,0,10678.0,0,10757.19
Coinbase,btc_usd,10678.0,1601466157.020561,10676.86,0,10678.0,0,10757.19
Coinbase,btc_eur,9136.12,1601466158.860341,9134.66,0,9136.12,0,9211.76
Coinbase,eth_eur,301.93,1601466160.4646,301.92,0,301.93,0,306.29
Coinbase,eth_usd,352.81,1601466162.157978,352.75,0,352.81,0,357.59
Coinbase,eth_eur,301.93,1601466162.175772,301.92,0,301.93,0,306.29
Coinbase,btc_eur,9136.04,1601466162.665113,9134.28,0,9136.04,0,9211.76
Coinbase,eth_usd,352.8,1601466163.143376,352.78,0,352.8,0,357.59
Coinbase,btc_usd,10677.97,1601466164.315669,10677.96,0,10677.97,0,10757.19
Coinbase,eth_usd,352.77,1601466169.19025,352.77,0,352.81,0,357.59
Coinbase,eth_eur,301.93,1601466169.708394,301.92,0,301.93,0,306.29
Coinbase,btc_usd,10677.97,1601466170.747399,10677.96,0,10677.97,0,10757.19
Coinbase,btc_eur,9135.9,1601466170.926887,9134.05,0,9135.9,0,9211.76
Coinbase,btc_usd,10677.96,1601466171.462585,10677.96,0,10677.97,0,10757.19
Coinbase,btc_eur,9135.82,1601466171.709767,9134.06,0,9135.82,0,9211.76
Coinbase,eth_usd,352.76,1601466171.73822,352.69,0,352.83,0,357.59
Coinbase,eth_usd,352.69,1601466171.739471,352.69,0,352.83,0,357.59
Coinbase,eth_usd,352.69,1601466171.740876,352.68,0,352.83,0,357.59
Coinbase,eth_usd,352.68,1601466171.745427,352.67,0,352.83,0,357.59
Coinbase,eth_usd,352.67,1601466171.745904,352.57,0,352.83,0,357.59
Coinbase,eth_usd,352.57,1601466171.746344,352.55,0,352.83,0,357.59
Coinbase,eth_usd,352.55,1601466171.746783,352.53,0,352.83,0,357.59
Coinbase,eth_usd,352.53,1601466171.747983,352.53,0,352.83,0,357.59
Coinbase,eth_usd,352.53,1601466171.748428,352.52,0,352.83,0,357.59
Coinbase,eth_usd,352.52,1601466171.748875,352.52,0,352.83,0,357.59
Coinbase,eth_usd,352.52,1601466171.81923,352.48,0,352.83,0,357.59
Coinbase,eth_usd,352.48,1601466171.819754,352.48,0,352.83,0,357.59
Coinbase,eth_usd,352.48,1601466171.820219,352.47,0,352.83,0,357.59
Coinbase,eth_usd,352.47,1601466171.82067,352.46,0,352.83,0,357.59
Coinbase,eth_usd,352.46,1601466171.821118,352.44,0,352.83,0,357.59
Coinbase,eth_usd,352.44,1601466171.821568,352.43,0,352.83,0,357.59
Coinbase,eth_usd,352.43,1601466171.822033,352.41,0,352.83,0,357.59
Coinbase,eth_usd,352.41,1601466171.848071,352.41,0,352.83,0,357.59
Coinbase,eth_usd,352.41,1601466171.848538,352.38,0,352.83,0,357.59
Coinbase,eth_usd,352.38,1601466171.849017,352.35,0,352.83,0,357.59
