Plateforme,Asset,Quote,Datetime,Bid,BidAmount,Ask,AskAmount,OpenInterest
Deribit,btc_usd,10737.37,1601368563.887,10735.5,51640.0,10736.0,21120.0,88991350
Deribit,eth_usd,355.41,1601368563.871,355.2,4255.0,355.25,13270.0,25947727
Deribit,btc_usd,10737.37,1601368564.026,10735.5,51640.0,10736.0,59260.0,88991350
Deribit,eth_usd,355.41,1601368564.029,355.2,8655.0,355.25,13270.0,25947727
Deribit,btc_usd,10737.37,1601368564.348,10735.5,51640.0,10736.0,58260.0,88991350
Deribit,btc_usd,10737.37,1601368564.488,10735.5,51640.0,10736.0,89260.0,88991350
Deribit,eth_usd,355.41,1601368564.671,355.2,4255.0,355.25,13270.0,25947727
Deribit,btc_usd,10737.37,1601368564.676,10735.5,51640.0,10736.0,90860.0,88991350
Deribit,btc_usd,10737.37,1601368564.679,10735.5,51640.0,10736.0,92460.0,88991350
Deribit,btc_usd,10737.37,1601368564.68,10735.5,51640.0,10736.0,94060.0,88991350
Deribit,btc_usd,10737.37,1601368564.681,10735.5,51640.0,10736.0,95640.0,88991350
Deribit,btc_usd,10737.37,1601368564.685,10735.5,51640.0,10736.0,94040.0,88991350
Deribit,btc_usd,10737.37,1601368564.688,10735.5,51640.0,10736.0,92460.0,88991350
Deribit,btc_usd,10737.37,1601368564.689,10735.5,51640.0,10736.0,90860.0,88991350
Deribit,btc_usd,10737.37,1601368564.689,10735.5,51640.0,10736.0,89260.0,88991350
Deribit,btc_usd,10737.37,1601368564.695,10735.5,51640.0,10736.0,90860.0,88991350
Deribit,btc_usd,10737.37,1601368564.696,10735.5,51640.0,10736.0,92460.0,88991350
Deribit,btc_usd,10737.37,1601368564.698,10735.5,51640.0,10736.0,94060.0,88991350
Deribit,btc_usd,10737.37,1601368564.699,10735.5,51640.0,10736.0,95640.0,88991350
Deribit,eth_usd,355.41,1601368564.77,355.2,155.0,355.25,13270.0,25947727
