Plateforme,Asset,Quote,Datetime,Bid,BidAmount,Ask,AskAmount,OpenInterest
Kraken,btc_usd,10834.4,1601535890.713186,10834.3,3.00883709,10834.4,0.3418583,10816.05673
Kraken,btc_eur,9233.3,1601535890.713944,9233.2,1.38035103,9233.3,0.25220855,9228.28776
Kraken,eth_usd,363.22,1601535890.714361,363.06,7.7560022,363.22,1.73484043,361.21368
Kraken,eth_eur,309.51,1601535890.714767,309.51,7.97987,309.52,45.74712712,309.20636
Kraken,btc_eur,9234.3,1601535899.32296,9234.2,3.6,9234.3,0.34168002,9228.2878
Kraken,btc_usd,10834.4,1601535905.219572,10834.3,18.77615316,10834.4,0.19728898,10816.05727
Kraken,btc_eur,9234.2,1601535906.147059,9234.2,3.98631004,9234.3,0.09616633,9228.28786
Kraken,btc_usd,10834.4,1601535915.94857,10834.3,16.49683417,10834.4,0.14175453,10816.05884
Kraken,btc_usd,10834.4,1601535917.165279,10834.3,18.63143308,10834.4,0.08612595,10816.06042
Kraken,btc_usd,10844.5,1601535918.795416,10834.3,16.03143308,10844.5,0.01832007,10816.09363
Kraken,btc_eur,9234.3,1601535919.414472,9234.2,3.58631004,9234.3,0.02600499,9228.28796
Kraken,btc_eur,9235.5,1601535919.824159,9235.4,2.41133808,9235.5,0.18523924,9228.28807
Kraken,btc_eur,9235.5,1601535920.602418,9235.4,5.60925608,9235.5,0.15993004,9228.28821
Kraken,btc_eur,9235.5,1601535921.010034,9235.4,5.60925608,9235.5,0.13741428,9228.28832
Kraken,eth_eur,309.56,1601535923.005641,309.56,10.88178561,309.57,35.25646353,309.20637
Kraken,btc_eur,9235.7,1601535926.941009,9235.7,3.597854,9235.8,0.05309794,9228.28834
Kraken,eth_eur,309.56,1601535927.045986,309.56,5.29880363,309.57,35.25646353,309.2078
Kraken,btc_usd,10842.3,1601535929.289221,10842.2,1.07211309,10842.3,2.14385033,10816.09766
Kraken,eth_eur,309.57,1601535936.671466,309.56,13.47292561,309.58,12.06117202,309.20808
Kraken,eth_eur,309.6,1601535941.974279,309.59,42.60548563,309.63,3.80431,309.20808
Kraken,eth_usd,363.3,1601535943.946846,363.29,212.00332316,363.49,4.0,361.21419
Kraken,eth_eur,309.63,1601535944.31177,309.62,10.88178561,309.63,23.80431,309.20869
Kraken,eth_eur,309.65,1601535947.115321,309.63,113.99620257,309.65,695.95072168,309.20964
Kraken,eth_eur,309.65,1601535947.526268,309.64,38.07192444,309.65,685.95072168,309.21027
Kraken,eth_eur,309.65,1601535951.272951,309.64,89.29192444,309.65,675.95072168,309.2109
Kraken,btc_usd,10841.7,1601535954.719516,10841.7,1.68288051,10841.8,2.14312946,10816.09807
Kraken,btc_usd,10841.7,1601535954.727921,10841.7,1.64521252,10841.8,2.14312946,10816.09956
Kraken,btc_eur,9235.8,1601535956.959724,9235.7,5.28995084,9235.8,0.18460867,9228.28867
Kraken,btc_eur,9236.5,1601535963.538286,9236.4,4.829,9236.5,0.09303904,9228.28869
Kraken,eth_eur,309.64,1601535967.280082,309.64,104.35244005,309.65,675.95072168,309.21092
Kraken,btc_eur,9236.4,1601535972.674624,9236.4,4.80687772,9236.5,0.33349217,9228.29117
Kraken,btc_eur,9236.4,1601535973.409491,9236.4,4.59346466,9236.5,0.33349217,9228.29243
Kraken,btc_eur,9236.5,1601535979.992786,9236.4,4.43203388,9236.5,0.33008313,9228.29245
Kraken,btc_eur,9236.5,1601535980.667965,9236.4,4.43203388,9236.5,0.04624707,9228.29246
Kraken,btc_eur,9238.4,1601535984.238031,9236.4,4.43203388,9238.4,0.14009133,9228.29556
Kraken,eth_usd,363.59,1601535985.61279,363.59,39.93395733,363.6,3.72181623,361.2142
Kraken,btc_eur,9238.0,1601535991.327063,9237.9,4.329,9238.0,0.09188767,9228.29559
Kraken,eth_eur,309.65,1601535994.107641,309.64,87.55393196,309.65,675.93058179,309.21092
Kraken,btc_eur,9238.1,1601535999.000332,9238.0,3.42309825,9238.1,0.18530636,9228.29575
Kraken,btc_eur,9238.1,1601536009.598971,9238.0,4.42309825,9238.1,0.25985217,9228.29591
Kraken,btc_eur,9238.1,1601536013.370593,9238.0,1.42309825,9238.1,0.27007885,9228.29609
Kraken,btc_eur,9238.0,1601536013.766329,9238.0,1.32772764,9238.1,0.27007885,9228.29676
Kraken,btc_eur,9238.1,1601536020.99857,9238.0,2.5106523,9238.1,0.21741077,9228.29688
Kraken,btc_eur,9238.0,1601536034.742872,9238.0,2.49825578,9238.1,0.0961467,9228.297
Kraken,eth_eur,309.65,1601536036.139923,309.64,39.90893196,309.65,713.16315155,309.21094
Kraken,eth_eur,309.65,1601536039.417099,309.64,88.51626808,309.65,660.62644979,309.21188
Kraken,eth_eur,309.65,1601536039.830789,309.64,88.51626808,309.65,650.62644979,309.2125
Kraken,btc_eur,9238.2,1601536042.769652,9238.0,2.95270412,9238.2,0.10236927,9228.31173
Kraken,btc_usd,10841.8,1601536043.333054,10841.7,2.16846181,10841.8,2.03981021,10816.10668
Kraken,btc_usd,10841.8,1601536048.630096,10841.7,2.16846181,10841.8,1.93856621,10816.11069
Kraken,btc_eur,9238.2,1601536052.319977,9238.1,3.46209162,9238.2,0.19359184,9228.31177
Kraken,eth_eur,309.65,1601536058.38133,309.64,33.50893196,309.65,689.23815155,309.21251
Kraken,btc_eur,9238.1,1601536078.621679,9238.1,3.25116867,9238.2,0.19359184,9228.3161
Kraken,btc_eur,9238.2,1601536081.299192,9238.1,3.25116867,9238.2,0.22095143,9228.31616
Kraken,btc_eur,9238.1,1601536084.519583,9238.1,2.43185369,9238.2,0.59595143,9228.31778
Kraken,eth_usd,363.56,1601536084.904194,363.55,24.58735614,363.56,3.59597436,361.21443
Kraken,btc_usd,10841.8,1601536085.543642,10841.7,0.67993644,10841.8,2.90142267,10816.11106
Kraken,eth_usd,363.6,1601536086.07155,363.55,34.49235614,363.6,1.2758108,361.2148
Kraken,btc_eur,9238.2,1601536086.468367,9238.1,0.60832825,9238.2,0.59336645,9228.31779
Kraken,btc_eur,9238.2,1601536097.295344,9238.1,0.60832825,9238.2,6.4995518,9228.31798
Kraken,btc_eur,9238.1,1601536097.715586,9238.1,0.526685,9238.2,6.4995518,9228.31855
Kraken,eth_eur,309.64,1601536107.665003,309.64,14.22667,309.65,689.23815155,309.21251
Kraken,btc_eur,9238.0,1601536111.948438,9238.0,0.16158194,9238.2,8.11541237,9228.32078
Kraken,btc_eur,9238.1,1601536114.328647,9238.0,0.9525796,9238.1,3.76009353,9228.32137
Kraken,eth_eur,309.65,1601536117.616778,309.64,8.22667,309.65,709.83951072,309.21251
Kraken,btc_usd,10840.6,1601536121.287832,10840.6,0.3932114,10841.8,6.76180411,10816.12236
Kraken,eth_usd,363.52,1601536133.279658,363.52,0.2442426,363.53,25.63684213,361.21485
Kraken,btc_eur,9238.1,1601536146.601547,9238.0,0.9525796,9238.1,14.94049192,9228.32145
Kraken,eth_eur,309.65,1601536150.649834,309.64,11.10845561,309.65,717.55891491,309.2127
Kraken,btc_eur,9238.1,1601536152.159847,9238.0,0.16158194,9238.1,14.93064606,9228.32152
Kraken,eth_eur,309.65,1601536153.987932,309.64,11.10845561,309.65,685.34813693,309.21471
Kraken,btc_eur,9238.1,1601536155.352093,9238.0,0.16158194,9238.1,14.73395673,9228.32189
Kraken,btc_eur,9238.1,1601536155.915203,9238.0,0.16158194,9238.1,15.92712774,9228.32206
Kraken,btc_eur,9238.0,1601536172.95795,9238.0,0.15858384,9238.1,17.41540659,9228.32208
Kraken,btc_eur,9238.0,1601536176.491178,9238.0,0.01403233,9238.1,15.41540659,9228.32309
Kraken,btc_eur,9237.6,1601536176.496662,9237.6,1.9658485,9238.1,15.41540659,9228.32342
Kraken,btc_usd,10836.2,1601536183.843653,10836.1,1.218,10836.2,3.2520719,10816.13779
Kraken,btc_eur,9237.7,1601536186.586059,9237.6,1.9658485,9237.7,9.85136068,9228.32349
Kraken,btc_eur,9236.4,1601536194.270525,9236.3,0.84543668,9236.4,12.35915306,9228.32363
Kraken,btc_eur,9236.4,1601536194.684136,9236.3,0.84543668,9236.4,12.33585205,9228.32376
Kraken,btc_eur,9236.4,1601536195.840419,9236.3,0.84543668,9236.4,12.31506621,9228.32388
Kraken,btc_eur,9236.4,1601536196.243604,9236.3,0.84543668,9236.4,12.36056454,9228.32401
Kraken,eth_eur,309.65,1601536198.758655,309.64,8.22667,309.65,769.27585722,309.21471
Kraken,eth_eur,309.65,1601536200.498145,309.64,8.22667,309.65,765.81846014,309.21472
Kraken,eth_eur,309.64,1601536202.029493,309.64,7.22667,309.65,765.81846014,309.21478
Kraken,btc_eur,9236.4,1601536205.394702,9236.3,0.84543668,9236.4,12.31736993,9228.32427
Kraken,btc_usd,10836.2,1601536205.509683,10836.1,3.18941315,10836.2,1.34954149,10816.15099
Kraken,btc_eur,9236.4,1601536206.063013,9236.3,0.84543668,9236.4,12.38053279,9228.32428
